id,Booking_status,Probability
42100,0,0.06910396
42101,0,0.029493662
42102,0,0.29981348
42103,0,0.22171554
42104,1,0.57940465
42105,1,0.5034125
42106,1,0.5419933
42107,1,0.7370555
42108,0,5.367734e-09
42109,0,0.45061237
42110,1,0.6752966
42111,0,0.32485968
42112,0,0.44369885
42113,0,0.1280265
42114,0,0.3094376
42115,1,0.8297834
42116,0,0.036987577
42117,0,0.34010014
42118,1,0.8769817
42119,1,0.85972273
42120,1,0.8932423
42121,0,0.17460383
42122,0,0.009356859
42123,1,0.54755384
42124,1,0.8196553
42125,0,0.0021499486
42126,0,0.0
42127,0,0.005751555
42128,0,0.29574338
42129,1,0.78675354
42130,1,0.86555696
42131,1,0.55740535
42132,0,0.395136
42133,1,0.96405256
42134,0,0.40748462
42135,0,6.834743e-17
42136,0,0.03107439
42137,1,0.5337664
42138,1,0.5060646
42139,1,0.83470225
42140,0,0.0019558887
42141,0,0.2800585
42142,1,0.69201523
42143,1,0.8843053
42144,0,0.1361731
42145,1,0.831883
42146,0,0.061105423
42147,1,0.89491326
42148,1,0.5934161
42149,0,0.402216
42150,0,0.3053624
42151,1,0.7288085
42152,1,0.772583
42153,0,0.12738049
42154,1,0.545127
42155,1,0.5031421
42156,1,0.52126175
42157,0,0.019140864
42158,0,0.29650167
42159,1,0.8029719
42160,1,0.68168443
42161,0,4.2002745e-07
42162,0,0.048859183
42163,0,0.0346491
42164,1,0.7843786
42165,0,0.38826436
42166,1,0.821952
42167,0,1.2000152e-09
42168,1,0.74492174
42169,0,0.44156167
42170,0,0.0152865965
42171,0,0.11897577
42172,0,0.36038044
42173,1,0.8640163
42174,0,0.16410367
42175,0,0.3106595
42176,1,0.89245975
42177,0,0.17934564
42178,0,0.04275701
42179,1,0.86301744
42180,1,0.7297168
42181,0,0.4585023
42182,1,0.7179804
42183,1,0.5001197
42184,0,0.09030975
42185,0,0.16485408
42186,0,0.19148698
42187,0,0.3414285
42188,0,0.030250536
42189,0,0.16931103
42190,0,0.32250983
42191,0,0.36966154
42192,0,0.26731524
42193,0,0.28550455
42194,0,0.31956175
42195,1,0.8900503
42196,1,0.859103
42197,0,0.46880326
42198,1,0.6991833
42199,1,0.5098273
42200,1,0.5747745
42201,1,0.67875975
42202,1,0.5101247
42203,0,0.32141474
42204,1,0.81178206
42205,0,0.21192303
42206,0,0.0094418535
42207,1,0.74643403
42208,0,0.03905094
42209,0,0.34489357
42210,0,0.25277743
42211,0,0.25885293
42212,0,0.3196221
42213,1,0.83227503
42214,1,0.79654205
42215,0,0.45776284
42216,1,0.57044876
42217,0,0.18627226
42218,0,0.026918251
42219,0,0.1293449
42220,0,0.47738877
42221,1,0.66832757
42222,0,0.46858913
42223,0,0.14548114
42224,1,0.8904586
42225,1,0.75491166
42226,1,0.8742413
42227,0,0.06581502
42228,0,0.49391723
42229,0,0.08866621
42230,0,0.30439898
42231,1,0.75421834
42232,1,0.85011643
42233,0,0.16621472
42234,1,0.73921245
42235,0,0.12785825
42236,0,0.032365188
42237,1,0.77247447
42238,0,0.27848256
42239,0,0.14852907
42240,1,0.9074247
42241,1,0.594321
42242,0,0.11735824
42243,1,0.90721697
42244,0,0.32220504
42245,1,0.64812726
42246,1,0.8914228
42247,1,0.8270103
42248,0,0.37188315
42249,1,0.8771094
42250,0,0.491955
42251,0,0.23815364
